est,conf.up,conf.low,trend,index,dummy0,isSig
0.10095485769842638,0.14658683159344926,0.05532288380340349,3,NCOPspring,0,1
0.0430784306054472,0.030851185454486327,0.05530567575640807,3,NCOPsummerlag1,0,1
-2.0860749952297808e-4,0.316924014304008,-0.317341229303054,3,BEUTI_33N,0,0
0.32512713063800286,0.6018949146379847,0.04835934663802105,3,BEUTI_39N,0,1
-0.07279762059652983,-0.0017552380431670109,-0.14384000314989265,3,CUTI_33N,0,1
0.32069377060437526,0.4110835146550614,0.23030402655368915,3,CUTI_39N,0,1
0.001924687918882645,0.12033957997667105,-0.11649020413890578,3,OC_LUSI_33N,0,0
0.0189145312890339,0.13065720191377866,-0.09282813933571085,3,OC_STI_33N,0,0
-0.3776820460237335,-0.06267630486736694,-0.6926877871801002,3,RREAS_Myctophids,0,1
0.00700356574103253,0.27789492500216006,-0.26388779352009506,3,RREAS_YOYsardine,0,0
-0.6132607569836002,-0.28970876294499814,-0.9368127510222022,3,age1SprSardmeanWAA,0,1
-0.6220282716073074,-0.5154503846944342,-0.7286061585201807,3,meanSSBwt,0,1
0.3071461857832998,0.4555516931525335,0.15874067841406606,3,ZM_NorCal,0,1
0.21669838936608646,0.376032243724814,0.05736453500735894,3,ZM_SoCal,0,1
-0.17654879608266075,0.17891659432988227,-0.5320141864952038,3,sardRec,0,0
0.14729971097609412,0.6027509283878519,-0.3081515064356637,3,anchBioSmrySeas1,0,0
-0.1833689755881061,-0.01033270791680306,-0.35640524325940914,3,summerSST,0,1
0.07130096430092428,0.17052848407002563,-0.027926555468177093,3,avgOffTransspring,0,0
0.40736675573706993,0.5649743673286812,0.24975914414545872,3,avgOffTranssummer,0,1
-0.12151162043430735,-0.03830682310478749,-0.20471641776382724,3,sprRelOffTrans,0,1
-0.29432994135379525,-0.15192017998196228,-0.4367397027256283,3,sumRelOffTrans,0,1
-0.24633416926716736,-0.09611961548811847,-0.39654872304621624,3,meanK,0,1
0.0511407668638758,0.19981131741526514,-0.0975297836875135,3,OC_LUSI_39N,0,0
-0.29406771607549526,-0.1771684850488905,-0.41096694710210013,3,sardSpawnHab,0,1
-0.3370873495869754,-0.2212040288360856,-0.4529706703378652,3,sardNurseHab,0,1
-0.3052476281628682,-0.19031994958659967,-0.42017530673913683,3,springSST,0,1
-0.3690028649043362,-0.39372976940284543,-0.3442759604058269,3,randTest,0,1
-0.5374222377692329,-0.30750489946529125,-0.7673395760731746,1,NCOPspring,0,1
-0.455054762305617,-0.2169190878165898,-0.6931904367946442,1,NCOPsummerlag1,0,1
-0.12931954224014525,0.3351447742465182,-0.5937838587268087,1,BEUTI_33N,0,0
-0.47785372253421426,-0.09752138758448023,-0.8581860574839484,1,BEUTI_39N,0,1
-0.2946267722686202,0.08530706076572321,-0.6745606053029636,1,CUTI_33N,0,0
-0.502641005198611,-0.1696860906848183,-0.8355959197124038,1,CUTI_39N,0,1
-0.33600551013151586,0.3523539920275951,-1.0243650122906267,1,OC_LUSI_33N,0,0
0.27061831117598206,0.8035445565310473,-0.2623079341790831,1,OC_STI_33N,0,0
0.10743211834259006,0.42853508161553217,-0.21367084493035207,1,RREAS_Myctophids,0,0
0.42425016348196626,0.9798930338787171,-0.13139270691478466,1,RREAS_YOYsardine,0,0
-0.03857377719663074,0.5407825774607511,-0.6179301318540126,1,age1SprSardmeanWAA,0,0
0.1961231947529234,0.950247125353755,-0.5580007358479082,1,meanSSBwt,0,0
-0.6916610571129409,-0.18973133922319885,-1.1935907750026828,1,ZM_NorCal,0,1
-0.5743156370723321,-0.20627342969791765,-0.9423578444467466,1,ZM_SoCal,0,1
0.2723294448699125,0.601664863657258,-0.05700597391743306,1,sardRec,0,0
-0.015044841812259582,0.3394012817154058,-0.3694909653399249,1,anchBioSmrySeas1,0,0
0.5595402654773007,1.0498926557871415,0.06918787516746003,1,summerSST,0,1
0.20629081765889484,0.6811923274007042,-0.26861069208291455,1,avgOffTransspring,0,0
-0.11692038102230048,0.2969549943724273,-0.5307957564170283,1,avgOffTranssummer,0,0
-0.15563957812346882,0.2882952782521305,-0.5995744344990682,1,sprRelOffTrans,0,0
-0.3088947503280588,0.3537763825108213,-0.9715658831669388,1,sumRelOffTrans,0,0
0.3027315466614609,0.7660725267322628,-0.16060943340934106,1,meanK,0,0
-0.39064409599731503,0.04386410021060115,-0.8251522922052312,1,OC_LUSI_39N,0,0
0.014328294010642534,0.7974579846565553,-0.76880139663527,1,sardSpawnHab,0,0
0.5762684313755426,0.9723029994947802,0.180233863256305,1,sardNurseHab,0,1
0.7229385450321322,1.2309317881270736,0.2149453019371908,1,springSST,0,1
0.06398490962636362,0.282981651403381,-0.15501183215065376,1,randTest,0,0
0.22152439524124218,0.1267529180975537,0.3162958723849306,2,NCOPspring,0,1
0.0934823209193506,0.16095370940286458,0.02601093243583663,2,NCOPsummerlag1,0,1
0.25110227063333024,0.5112992170486266,-0.009094675781966266,2,BEUTI_33N,0,0
0.22465350223722352,0.4448569461028533,0.004450058371593707,2,BEUTI_39N,0,1
0.18264019360680736,0.43934796641000845,-0.07406757919639377,2,CUTI_33N,0,0
0.13433757019403852,0.4079964678190695,-0.1393213274309925,2,CUTI_39N,0,0
0.1965096950256369,0.9987972350136687,-0.605777844962395,2,OC_LUSI_33N,0,0
-0.1501544214237152,0.4456993192891383,-0.7460081621365686,2,OC_STI_33N,0,0
-0.0796549791679678,0.2735625364826659,-0.43287249481860146,2,RREAS_Myctophids,0,0
-0.10749116487619526,0.6405349620511307,-0.8555172918035212,2,RREAS_YOYsardine,0,0
-0.05681470836783184,0.41725604894719365,-0.5308854656828572,2,age1SprSardmeanWAA,0,0
-0.061090310757580535,0.8480857372803869,-0.970266358795548,2,meanSSBwt,0,0
0.22809396677392982,0.7459860073232691,-0.2897980737754096,2,ZM_NorCal,0,0
0.07901580669888411,0.5235571535812196,-0.3655255401834512,2,ZM_SoCal,0,0
-0.21292568057134986,-0.01789091153300107,-0.4079604496096987,2,sardRec,0,1
0.17160281861978471,0.40320549048433585,-0.059999853244766484,2,anchBioSmrySeas1,0,0
